timestamp,val_1,val_2,val_3,val_4
1776596634.9746,291,,,
1776596635.1057,291,,,
1776596635.2439,291,,,
1776596635.3752,291,,,
1776596635.5128,291,,,
1776596635.6441,291,,,
1776596635.7779,291,,,
1776596635.9098,291,,,
1776596636.0450,291,,,
1776596636.1744,291,,,
1776596636.3125,291,,,
1776596636.4941,291,,,
1776596636.6283,291,,,
1776596636.7679,291,,,
1776596636.9092,291,,,
1776596637.0420,291,,,
1776596637.1739,291,,,
1776596637.3083,291,,,
1776596637.4421,291,,,
1776596637.5784,291,,,
1776596637.7070,291,,,
1776596637.8408,291,,,
1776596637.9775,291,,,
1776596638.1138,291,,,
1776596638.2451,291,,,
1776596638.3808,291,,,
1776596638.5120,291,,,
1776596638.6446,291,,,
1776596638.7789,291,,,
1776596638.9125,291,,,
1776596639.0415,291,,,
1776596639.1757,291,,,
1776596639.3070,291,,,
1776596639.4403,291,,,
1776596639.5772,291,,,
1776596639.7114,291,,,
1776596639.8417,291,,,
1776596639.9770,291,,,
1776596640.1096,291,,,
1776596640.2452,291,,,
1776596640.3763,291,,,
1776596640.5105,291,,,
1776596640.6417,291,,,
1776596640.7801,291,,,
1776596640.9097,291,,,
1776596641.0413,291,,,
1776596641.1746,291,,,
1776596641.3075,291,,,
1776596641.4426,291,,,
1776596641.5769,291,,,
1776596641.7071,291,,,
1776596641.8467,291,,,
1776596641.9927,291,,,
1776596642.1250,291,,,
1776596642.2634,291,,,
1776596642.4114,291,,,
1776596642.5442,291,,,
1776596642.6742,291,,,
1776596642.8567,291,,,
1776596642.9953,291,,,
1776596643.1291,291,,,
1776596643.2626,291,,,
1776596643.3945,291,,,
1776596643.5290,291,,,
1776596643.6589,291,,,
1776596643.7917,291,,,
1776596643.9268,291,,,
1776596644.0611,291,,,
1776596644.1904,291,,,
1776596644.3277,291,,,
1776596644.4582,291,,,
1776596644.5976,291,,,
1776596644.7273,291,,,
1776596644.8598,291,,,
1776596644.9970,291,,,
1776596645.1292,291,,,
1776596645.2820,291,,,
1776596645.4282,291,,,
1776596645.5571,291,,,
1776596645.6936,291,,,
1776596645.8280,291,,,
1776596645.9553,291,,,
1776596646.0921,291,,,
1776596646.2260,291,,,
1776596646.3608,291,,,
1776596646.4912,291,,,
1776596646.6274,291,,,
1776596646.7598,291,,,
1776596646.8924,291,,,
1776596647.0248,291,,,
1776596647.1631,291,,,
1776596647.2934,291,,,
1776596647.4267,291,,,
1776596647.5581,291,,,
1776596647.6908,291,,,
1776596647.8239,291,,,
1776596647.9615,291,,,
1776596648.1143,291,,,
1776596648.2616,291,,,
1776596648.4101,291,,,
1776596648.5451,291,,,
1776596648.6780,291,,,
1776596648.8070,291,,,
1776596648.9441,291,,,
1776596649.0794,291,,,
1776596649.2109,291,,,
1776596649.3451,291,,,
1776596649.4760,291,,,
1776596649.6103,291,,,
1776596649.7425,291,,,
1776596649.8738,291,,,
1776596650.0153,291,,,
